home_country,source_currency,dest_currency,channel,kyc_tier,ip_country,amount_src,amount_usd,fee,exchange_rate_src_to_dest,ip_risk_score,account_age_days,device_trust_score,chargeback_history_count,risk_score_internal,txn_velocity_1h,txn_velocity_24h,corridor_risk,hour_of_day,day_of_week,is_weekend,month,night_hour,account_very_new,account_new,velocity_burst,amount_high,ip_high_risk,device_low_trust,corridor_high_risk,cross_border,high_chargeback_history,new_device,location_mismatch,fraud_probability
US,USD,NGN,WEB,LOW,US,843.8985000000001,843.8985000000001,10.54,1111.111111,1.0,83,0.313,0,0.769,6,9,0.25,6,6,1,2,1,0,1,1,0,1,1,0,1,0,1,0,1.0
UK,GBP,EUR,MOBILE,ENHANCED,UK,287.88750000000005,359.85600000000005,4.92,1.157407,0.5761499999999999,1095,0.778,0,0.197,0,2,0.0,11,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.012824321513368346
US,USD,EUR,MOBILE,STANDARD,US,207.36,207.36,3.82,0.925926,0.12419999999999999,147,0.551,0,0.391,0,0,0.0,18,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0.10066300290398922
US,USD,EUR,MOBILE,STANDARD,US,145.395,145.395,2.24,0.925926,0.23459999999999998,298,0.336,0,0.166,0,0,0.0,16,6,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0.16133232629599956
US,USD,GBP,WEB,ENHANCED,US,140.913,140.913,3.13,0.8,0.39215,367,0.939,0,0.176,0,0,0.0,19,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.04337148772099758
US,USD,CNY,MOBILE,STANDARD,UK,169.911,169.911,3.47,7.142857,0.76705,1018,0.934,0,0.087,0,0,0.0,14,3,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0.21890999440141037
US,USD,PHP,ATM,ENHANCED,CA,197.4105,197.4105,2.63,58.823529,0.25875,257,0.894,0,0.257,0,0,0.1,7,1,0,3,1,0,0,0,0,0,0,0,1,0,0,1,0.04659824250405848
CA,CAD,NGN,MOBILE,LOW,CA,381.996,282.6765,5.48,822.222222,0.28175,615,0.365,0,0.355,0,0,0.0,13,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0.3746599013750505
UK,GBP,PHP,WEB,STANDARD,UK,141.1155,176.40449999999998,2.68,73.529412,0.33119999999999994,718,0.953,0,0.169,0,0,0.0,18,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0.025229677893702306
UK,GBP,CNY,ATM,STANDARD,US,2209.8015000000005,2762.2485,25.01,8.928571,0.2622,4,0.892,0,0.407,0,0,0.0,4,0,0,2,1,1,0,0,1,0,0,0,1,0,0,1,0.8257471934257763
US,USD,USD,MOBILE,ENHANCED,US,604.0575,604.0575,7.59,1.0,0.14259999999999998,257,0.894,0,0.257,0,1,0.0,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.03073022958984444
US,USD,GBP,MOBILE,STANDARD,US,99.0225,99.0225,2.65,0.8,0.25529999999999997,263,0.522,0,0.223,0,0,0.0,9,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.08793660876512903
US,USD,NGN,MOBILE,STANDARD,US,615.2220000000001,615.2220000000001,8.24,1111.111111,0.25529999999999997,1018,0.934,0,0.087,0,0,0.25,20,6,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0.12476736909078469
US,USD,PHP,ATM,STANDARD,US,1394.4150000000002,1394.4150000000002,16.07,58.823529,0.17939999999999998,298,0.336,0,0.166,0,0,0.1,1,4,0,11,1,0,0,0,0,0,1,0,1,0,0,0,0.16911533536537485
US,USD,MXN,MOBILE,STANDARD,US,387.3555,387.3555,5.65,17.241379,0.028749999999999998,263,0.522,0,0.223,0,0,0.2,13,6,1,11,0,0,0,0,0,0,0,0,1,0,0,0,0.1427017506353995
US,USD,NGN,MOBILE,STANDARD,US,209.95200000000003,209.95200000000003,3.32,1111.111111,0.33809999999999996,263,0.522,0,0.223,0,0,0.25,23,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0.11947103568618145
US,USD,EUR,WEB,ENHANCED,US,242.4195,242.4195,3.81,0.925926,0.3174,257,0.894,0,0.257,0,1,0.0,8,5,1,11,0,0,0,0,0,0,0,0,1,0,0,0,0.04053391891246214
UK,GBP,INR,WEB,STANDARD,UK,349.43399999999997,436.7925,4.72,104.166667,0.20814999999999997,4,0.892,0,0.407,0,0,0.0,22,6,1,2,0,1,0,0,0,0,0,0,1,0,0,0,0.41967389269005956
US,USD,USD,WEB,STANDARD,US,396.63000000000005,396.63000000000005,6.56,1.0,0.1035,1018,0.934,0,0.087,0,0,0.0,2,2,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0.07811868077017385
US,USD,NGN,ATM,LOW,UK,1052.1090000000002,1052.1090000000002,12.36,1111.111111,1.0,14,0.177,1,0.577,6,7,0.25,5,0,0,12,1,1,0,1,0,1,1,0,1,1,0,1,1.0
CA,CAD,INR,MOBILE,LOW,CA,179.9685,133.1775,3.5,61.666667,0.28404999999999997,824,0.607,0,0.282,0,0,0.12,6,5,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0.3555573495123698
US,USD,GBP,MOBILE,STANDARD,US,850.041,850.041,9.97,0.8,0.58995,298,0.336,0,0.166,0,0,0.0,9,0,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0.2918830301820121
US,USD,CNY,MOBILE,STANDARD,US,478.31850000000003,478.31850000000003,6.46,7.142857,0.6784999999999999,298,0.336,0,0.166,0,0,0.0,17,3,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0.2658773039436444
US,USD,GBP,WEB,STANDARD,US,96.57900000000001,96.57900000000001,2.04,0.8,0.14834999999999998,263,0.522,0,0.223,0,0,0.0,11,6,1,12,0,0,0,0,0,0,0,0,1,0,0,0,0.09057367784706066
US,USD,MXN,MOBILE,STANDARD,US,360.8955,360.8955,4.85,17.241379,0.37834999999999996,298,0.336,0,0.166,0,0,0.2,17,3,0,11,0,0,0,0,0,0,1,0,1,0,0,0,0.3752848410399492
CA,CAD,INR,MOBILE,LOW,US,2792.9880000000003,2066.8095000000003,32.34,61.666667,1.0,74,0.136,1,0.803,5,8,0.12,2,2,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1.0
CA,CAD,CAD,WEB,LOW,UK,614.0070000000001,454.3695,7.0,1.0,1.0,26,0.157,0,0.508,3,6,0.0,21,5,1,12,0,1,0,1,0,1,1,0,0,0,0,1,1.0
US,USD,NGN,MOBILE,STANDARD,US,132.8265,132.8265,2.31,1111.111111,0.1725,147,0.551,0,0.391,0,0,0.25,17,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.15084870251130703
UK,GBP,PHP,MOBILE,STANDARD,UK,194.2245,242.77050000000003,2.85,73.529412,0.8210999999999999,4,0.892,0,0.407,0,0,0.0,20,2,0,12,0,1,0,0,0,1,0,0,1,0,0,0,0.37105030281082557
US,USD,INR,MOBILE,STANDARD,CA,152.496,152.496,2.92,83.333333,0.38525,1016,0.944,0,0.247,0,0,0.0,12,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0.1683028690047061
US,USD,MXN,WEB,LOW,UK,1916.2305000000001,1916.2305000000001,22.19,17.241379,1.0,84,0.249,1,0.451,3,5,0.2,6,6,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1.0
US,USD,PHP,MOBILE,STANDARD,US,1717.092,1717.092,20.3,58.823529,0.2622,1018,0.934,0,0.087,0,0,0.1,9,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.13238781990231577
US,USD,INR,WEB,STANDARD,US,121.2975,121.2975,2.18,83.333333,0.5703999999999999,298,0.336,0,0.166,0,0,0.0,20,3,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0.1835298816925369
UK,GBP,CNY,MOBILE,LOW,UK,219.37500000000003,274.21200000000005,2.7,8.928571,0.2254,778,0.623,0,0.248,0,2,0.0,18,6,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0.12924341396853625
US,USD,GBP,WEB,STANDARD,US,206.145,206.145,4.49,0.8,1.0,147,0.551,0,0.391,0,0,0.0,18,5,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0.19467753156396525
US,USD,MXN,WEB,STANDARD,US,255.81150000000002,255.81150000000002,4.08,17.241379,0.39215,1018,0.934,0,0.087,7,7,0.2,4,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0.9019282527422903
US,USD,INR,ATM,STANDARD,US,475.28100000000006,475.28100000000006,6.92,83.333333,0.14259999999999998,263,0.522,0,0.223,0,1,0.0,10,6,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0.04313979921505758
US,USD,PHP,ATM,ENHANCED,US,677.0655,677.0655,8.42,58.823529,0.41859999999999997,257,0.894,0,0.257,0,0,0.1,0,2,0,12,1,0,0,0,0,0,0,0,1,0,0,0,0.022014280433702706
US,USD,CNY,WEB,ENHANCED,US,302.967,302.967,4.44,7.142857,0.11384999999999999,367,0.939,0,0.176,0,0,0.0,6,5,1,3,1,0,0,0,0,0,0,0,1,0,0,0,0.05030745839438932
CA,CAD,INR,MOBILE,LOW,US,2593.512,1919.2005000000004,29.79,61.666667,1.0,64,0.353,1,0.375,5,7,0.12,5,6,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1.0
US,USD,CNY,MOBILE,STANDARD,US,705.105,705.105,9.57,7.142857,0.057499999999999996,1018,0.934,0,0.087,0,0,0.0,2,0,0,11,1,0,0,0,0,0,0,0,1,0,0,0,0.13846916115644242
UK,GBP,MXN,MOBILE,STANDARD,UK,78.138,97.6725,1.75,21.551724,0.6658499999999999,718,0.953,0,0.169,0,0,0.0,13,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.030468184404295717
US,USD,CNY,MOBILE,ENHANCED,US,159.84000000000003,159.84000000000003,2.26,7.142857,0.3795,257,0.894,0,0.257,0,0,0.0,5,6,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0.0377584651378166
CA,CAD,USD,WEB,STANDARD,CA,156.66750000000002,115.938,2.74,0.74,0.1909,725,0.824,0,0.212,0,0,0.0,23,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.08926085577973437
US,USD,PHP,MOBILE,STANDARD,US,425.898,425.898,5.34,58.823529,0.21159999999999998,1016,0.944,0,0.247,0,0,0.1,13,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.13526081200545875
US,USD,INR,MOBILE,STANDARD,US,383.46750000000003,383.46750000000003,4.37,83.333333,0.24494999999999997,298,0.336,0,0.166,0,0,0.0,17,6,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0.11764544409998667
UK,GBP,INR,WEB,LOW,US,2247.2775,2809.0935,25.29,104.166667,0.9038999999999999,21,0.045,1,0.542,5,8,0.0,6,5,1,12,1,1,0,1,1,1,1,0,1,1,1,1,1.0
US,USD,EUR,WEB,LOW,UK,180.54900000000004,180.54900000000004,3.33,0.925926,1.0,23,0.11,0,0.496,7,10,0.0,5,0,0,12,1,1,0,1,0,1,1,0,1,0,1,1,1.0
UK,GBP,MXN,MOBILE,STANDARD,US,246.67200000000003,308.34000000000003,4.48,21.551724,0.6014499999999999,4,0.892,0,0.407,0,0,0.0,20,0,0,3,0,1,0,0,0,0,0,0,1,0,0,1,0.847697839526676
US,USD,CNY,WEB,ENHANCED,US,78.651,78.651,2.6,7.142857,1.0,367,0.939,0,0.176,0,0,0.0,23,5,1,2,0,0,0,0,0,1,0,0,1,0,0,0,0.05191479175357782
US,USD,INR,MOBILE,STANDARD,US,13488.822,13488.822,150.76,83.333333,0.24149999999999996,1018,0.934,0,0.087,0,0,0.0,22,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0.2633331119239944
US,USD,NGN,MOBILE,STANDARD,US,892.5120000000001,892.5120000000001,11.49,1111.111111,0.32085,263,0.522,0,0.223,0,0,0.25,7,4,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0.13870751824117222
US,USD,INR,MOBILE,STANDARD,US,166.6035,166.6035,2.69,83.333333,1.0,1016,0.944,0,0.247,0,0,0.0,23,6,1,3,0,0,0,0,0,1,0,0,1,0,0,0,0.07682121806826657
UK,GBP,CNY,WEB,STANDARD,UK,1506.5190000000002,1883.1420000000003,17.24,8.928571,0.16559999999999997,4,0.892,0,0.407,0,0,0.0,8,6,1,2,0,1,0,0,0,0,0,0,1,0,0,0,0.758105432240734
US,USD,USD,WEB,STANDARD,US,136.5255,136.5255,2.73,1.0,0.40019999999999994,147,0.551,0,0.391,0,0,0.0,17,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0.08838442881001238
US,USD,NGN,MOBILE,STANDARD,UK,436.3470000000001,436.3470000000001,5.59,1111.111111,0.36224999999999996,1018,0.934,0,0.087,0,0,0.25,16,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0.2843449776710151
US,USD,CAD,WEB,STANDARD,US,239.8545,239.8545,3.64,1.351351,0.5405,298,0.336,0,0.166,0,0,0.0,13,3,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0.22985589708723797
UK,GBP,MXN,WEB,ENHANCED,UK,212.7195,265.896,2.81,21.551724,0.27714999999999995,985,0.587,0,0.153,0,1,0.0,13,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0.012255767829847958
UK,GBP,MXN,WEB,STANDARD,UK,196.614,245.76750000000004,3.09,21.551724,0.1127,4,0.892,0,0.407,0,0,0.0,16,2,0,11,0,1,0,0,0,0,0,0,1,0,0,0,0.5731555431962989
US,USD,USD,MOBILE,STANDARD,US,227.96100000000004,227.96100000000004,3.48,1.0,0.08394999999999998,263,0.522,0,0.223,0,0,0.0,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0.05608877895415333
CA,CAD,INR,WEB,LOW,UK,422.7255,312.822,5.29,61.666667,1.0,147,0.213,2,0.808,6,9,0.12,7,3,0,3,1,0,0,1,0,1,1,0,1,1,0,1,1.0
US,USD,CNY,MOBILE,STANDARD,US,289.07550000000003,289.07550000000003,3.92,7.142857,0.38755,298,0.336,0,0.166,0,0,0.0,11,2,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0.28860241858455726
US,USD,PHP,MOBILE,STANDARD,US,25.933500000000002,25.933500000000002,1.5,58.823529,0.05175,298,0.336,0,0.166,0,0,0.1,21,1,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0.20371326607872292
US,USD,PHP,WEB,STANDARD,US,507.843,507.843,6.34,58.823529,1.0,51,0.049,2,0.753,4,5,0.0,23,4,0,12,0,0,1,1,0,1,1,0,1,1,1,0,1.0
UK,GBP,EUR,MOBILE,STANDARD,UK,131.9625,164.943,2.49,1.157407,0.1886,4,0.892,0,0.407,0,0,0.05,23,5,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0.48060274259856417
US,USD,GBP,MOBILE,STANDARD,US,156.2895,156.2895,2.87,0.8,0.37834999999999996,1018,0.784,0,0.087,0,0,0.0,9,3,0,3,0,0,0,0,0,0,0,0,1,0,1,0,0.0738336399983279
US,USD,PHP,WEB,STANDARD,US,58.887,58.887,1.07,58.823529,0.0759,1018,0.934,0,0.087,0,0,0.1,12,6,1,12,0,0,0,0,0,0,0,0,1,0,0,0,0.10008474546252201
US,USD,EUR,MOBILE,ENHANCED,US,187.21800000000002,187.21800000000002,3.21,0.925926,0.12419999999999999,90,0.938,0,0.387,1,3,0.0,14,3,0,2,0,0,1,0,0,0,0,0,1,0,1,0,0.07917434900485774
US,USD,NGN,MOBILE,ENHANCED,US,428.949,428.949,5.95,1111.111111,0.5703999999999999,257,0.744,0,0.257,0,0,0.25,23,2,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0.030558099119678075
CA,CAD,MXN,MOBILE,LOW,US,194.30550000000002,143.78850000000003,3.16,12.758621,0.26565,824,0.607,0,0.282,0,0,0.0,18,4,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0.6156145313276279
US,USD,CAD,WEB,STANDARD,US,87.65550000000002,87.65550000000002,2.28,1.351351,0.4577,263,0.522,0,0.223,0,0,0.0,21,4,0,11,0,0,0,0,0,0,0,0,1,0,0,0,0.05897510632467615
UK,GBP,CNY,MOBILE,STANDARD,CA,37.13850000000001,46.426500000000004,1.35,8.928571,0.8901,4,0.892,0,0.407,0,0,0.0,9,6,1,1,0,1,0,0,0,1,0,0,1,0,0,1,0.8827406131165388
UK,GBP,NGN,MOBILE,STANDARD,UK,767.313,959.1480000000001,10.22,1388.888889,0.58075,718,0.953,0,0.169,0,0,0.22,4,6,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0.04926695489269484
US,USD,CNY,MOBILE,STANDARD,US,209.5875,209.5875,3.7,7.142857,0.3174,298,0.336,0,0.166,0,0,0.0,17,4,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0.23999111947399324
CA,CAD,MXN,MOBILE,STANDARD,CA,40.9185,30.2805,1.86,12.758621,0.4255,178,0.767,0,0.38,2,4,0.0,16,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.27082885390037054
UK,GBP,INR,WEB,STANDARD,UK,159.435,199.287,1.98,104.166667,0.25184999999999996,4,0.892,0,0.407,0,0,0.0,20,2,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0.4684660285609429
US,USD,NGN,MOBILE,ENHANCED,US,236.49300000000002,236.49300000000002,2.69,1111.111111,0.5542999999999999,257,0.894,0,0.257,0,0,0.25,3,0,0,12,1,0,0,0,0,0,0,0,1,0,0,0,0.04746641616051041
US,USD,USD,WEB,STANDARD,US,180.03600000000003,180.03600000000003,3.12,1.0,0.36455,298,0.336,0,0.166,0,0,0.0,9,4,0,12,0,0,0,0,0,0,1,0,0,0,0,0,0.14596392464356753
US,USD,INR,WEB,STANDARD,US,541.836,541.836,6.58,83.333333,0.1955,1018,0.934,0,0.087,0,0,0.0,17,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0.08402717492693144
US,USD,CAD,ATM,STANDARD,US,209.1825,209.1825,3.55,1.351351,0.6187,1016,0.794,0,0.247,0,0,0.0,0,5,1,2,1,0,0,0,0,0,0,0,1,0,1,0,0.05017122829585884
UK,GBP,EUR,WEB,LOW,US,1988.0235,2485.0260000000003,23.13,1.157407,1.0,11,0.023,0,0.716,5,7,0.0,8,3,0,2,0,1,0,1,0,1,1,0,1,0,0,1,1.0
US,USD,NGN,MOBILE,STANDARD,US,357.588,357.588,5.62,1111.111111,0.092,1018,0.934,0,0.087,0,1,0.25,5,6,1,3,1,0,0,0,0,0,0,0,1,0,0,0,0.18687440813275466
US,USD,MXN,WEB,LOW,UK,1205.172,1205.172,15.11,17.241379,1.0,25,0.135,0,0.758,3,6,0.2,8,6,1,2,0,1,0,1,0,1,1,0,1,0,0,1,1.0
US,USD,EUR,WEB,STANDARD,UK,178.18650000000002,178.18650000000002,2.39,0.925926,0.6646999999999998,263,0.522,0,0.223,0,0,0.0,6,2,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0.21040767606555036
US,USD,USD,MOBILE,ENHANCED,US,145.6245,145.6245,3.09,1.0,1.0,367,0.939,0,0.176,0,0,0.0,6,3,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0.020395100776984216
US,USD,PHP,WEB,ENHANCED,US,121.91850000000001,121.91850000000001,2.66,58.823529,0.1472,257,0.894,0,0.257,8,8,0.1,1,2,0,12,1,0,0,1,0,0,0,0,1,0,0,0,0.22494787267875418
UK,GBP,CAD,WEB,STANDARD,UK,767.2590000000001,959.067,9.34,1.689189,0.32085,4,0.892,0,0.407,0,0,0.0,23,5,1,2,0,1,0,0,0,0,0,0,1,0,0,0,0.4980751817663339
US,USD,PHP,WEB,STANDARD,UK,236.7225,236.7225,5.07,58.823529,0.48874999999999996,147,0.551,0,0.391,0,0,0.1,6,6,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0.2780018716814817
US,USD,NGN,WEB,STANDARD,US,112.10400000000001,112.10400000000001,1.92,1111.111111,0.6784999999999999,1018,0.934,0,0.087,0,0,0.25,4,5,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0.2195227565524738
US,USD,CNY,MOBILE,STANDARD,US,401.463,401.463,6.2,7.142857,0.27945,1018,0.934,0,0.087,0,0,0.0,2,2,0,12,1,0,0,0,0,0,0,0,1,0,0,0,0.12119073689911813
US,USD,CAD,WEB,STANDARD,US,107.71650000000001,107.71650000000001,2.21,1.351351,0.1334,263,0.522,0,0.223,0,0,0.0,10,1,0,12,0,0,0,0,0,0,0,0,1,0,0,0,0.07248556272545675
US,USD,INR,MOBILE,STANDARD,US,143.28900000000002,143.28900000000002,2.26,83.333333,0.1886,1018,0.784,0,0.087,0,0,0.0,2,2,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0.04687112744187146
CA,CAD,INR,WEB,STANDARD,US,630.639,466.66800000000006,8.8,61.666667,1.0,22,0.468,0,0.442,3,5,0.12,5,5,1,2,1,1,0,1,0,1,1,0,1,0,1,1,1.0
US,USD,EUR,MOBILE,STANDARD,UK,483.78600000000006,483.78600000000006,5.32,0.925926,0.32659999999999995,34,0.427,0,0.068,0,0,0.0,21,2,0,2,0,0,1,0,0,0,1,0,1,0,0,1,0.4165425419473483
US,USD,NGN,MOBILE,STANDARD,US,164.52450000000002,164.52450000000002,2.32,1111.111111,0.26335,147,0.551,0,0.391,0,0,0.25,13,6,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0.14173075741093846
